1.598456669000000000e+09,4.082083268000000231e+01,-7.392119013999999311e+01,4.700000000000000000e+02,SPEED,avg_longitude,avg_latitude
1597014822.0,40.72413645,-73.99260322,273.0,21.74,-73.997887,40.70871025
1597014822.0,40.72413645,-73.99260322,273.0,21.74,-73.997887,40.70871025
1597014822.0,40.72413645,-73.99260322,273.0,21.74,-73.997887,40.70871025
1597014822.0,40.72413645,-73.99260322,273.0,21.74,-73.997887,40.70871025
1597051334.0,40.72413645,-73.99260322,224.0,34.79,-73.997887,40.70871025
1597051334.0,40.72413645,-73.99260322,224.0,34.79,-73.997887,40.70871025
1597051334.0,40.72413645,-73.99260322,224.0,34.79,-73.997887,40.70871025
1597051334.0,40.72413645,-73.99260322,224.0,34.79,-73.997887,40.70871025
1597147063.0,40.72413645,-73.99260322,347.0,26.09,-73.997887,40.70871025
1597147063.0,40.72413645,-73.99260322,347.0,26.09,-73.997887,40.70871025
1597147063.0,40.72413645,-73.99260322,347.0,26.09,-73.997887,40.70871025
1597147063.0,40.72413645,-73.99260322,347.0,26.09,-73.997887,40.70871025
1597225381.0,40.72413645,-73.99260322,0.0,29.82,-73.997887,40.70871025
1597225381.0,40.72413645,-73.99260322,0.0,29.82,-73.997887,40.70871025
1597225381.0,40.72413645,-73.99260322,0.0,29.82,-73.997887,40.70871025
1597225381.0,40.72413645,-73.99260322,0.0,29.82,-73.997887,40.70871025
1597227601.0,40.72413645,-73.99260322,363.0,29.82,-73.997887,40.70871025
1597227601.0,40.72413645,-73.99260322,363.0,29.82,-73.997887,40.70871025
1597227601.0,40.72413645,-73.99260322,363.0,29.82,-73.997887,40.70871025
1597227601.0,40.72413645,-73.99260322,363.0,29.82,-73.997887,40.70871025
1597659637.0,40.72413645,-73.99260322,282.0,nan,nan,nan
1597659637.0,40.72413645,-73.99260322,282.0,nan,nan,nan
1597659637.0,40.72413645,-73.99260322,282.0,nan,nan,nan
1597659637.0,40.72413645,-73.99260322,282.0,nan,nan,nan
1598112171.0,40.72413645,-73.99260322,254.0,23.61,-73.997887,40.70871025
1598112171.0,40.72413645,-73.99260322,254.0,23.61,-73.997887,40.70871025
1598112171.0,40.72413645,-73.99260322,254.0,23.61,-73.997887,40.70871025
1598112171.0,40.72413645,-73.99260322,254.0,23.61,-73.997887,40.70871025
1598379488.0,40.72413645,-73.99260322,0.0,18.01,-73.997887,40.70871025
